tract,Name,Household_Income_at_Age_35_rP_gP_pall,Incarceration_Rate_rP_gP_pall,Teenage_Birth_Rate_women_only_rP_gP_pall,Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall,Fraction_Married_at_Age_35_rP_gP_pall,Spouse's_Income_at_Age_35_rP_gP_pall,Employment_Rate_at_Age_35_rP_gP_pall,High_School_Graduation_Rate_rP_gP_pall,College_Graduation_Rate_rP_gP_pall,Hours_Worked_Per_Week_at_Age_35_rP_gP_pall,Hourly_Wage_$/hour_at_Age_35_rP_gP_pall,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall,Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall,Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Household_Income_for_U.S._Natives_rP_gP_pall,Household_Income_for_Immigrants_rP_gP_pall,Individual_Income_for_U.S._Natives_rP_gP_pall,Individual_Income_for_Immigrants_rP_gP_pall,Number_of_Children_rP_gP_pall
22071012900,"Leonidas, New Orleans, LA",28701,0.0341,,22697,0.1797,51107,0.7126,,,,,0.085,,0.0748,,0.6645,0.1461,27008,22457,,,,,267
22071013000,"Uptown/Carrollton, New Orleans, LA",23282,0.0619,,22247,0.0884,34957,0.7754,,,,,0.0382,,0.1135,,0.6467,0.1574,24300,23799,,,,,520
22071013100,"Leonidas, New Orleans, LA",18495,0.0417,,16976,0.0887,36166,0.6982,,,,,0.0239,,0.0609,,0.6775,0.1583,16571,16829,,,,,736
22071013200,"Leonidas, New Orleans, LA",23147,0.0533,,21587,0.1138,35763,0.7605,,,,,0.0317,,0.0992,,0.6435,0.1967,21893,20917,,,,,826
22071013301,"Lake Shore - Lake Vista, New Orleans, LA",70729,0.0015,,44130,0.5104,54498,0.7963,,,,,0.4837,,0.4907,,0.5983,0.2424,63794,43192,,,,,852
22071013302,"Gentilly, New Orleans, LA",70143,0.0001,,45627,0.5998,44276,0.8762,,,,,0.4314,,0.4561,,0.6178,0.1941,64849,42420,,,,,323
22071013400,"Central Business District, New Orleans, LA",45405,0.0116,,32287,0.4269,49081,0.6528,,,,,0.3363,,0.3264,,0.6039,0.118,48435,34843,,,,,89
22071013500,"French Quarter, New Orleans, LA",39999,0.0241,,31065,0.3483,38452,0.7237,,,,,0.2691,,0.2857,,0.5206,0.1226,41409,31344,,,,,69
22071013600,"St. Claude, New Orleans, LA",19301,0.0392,,17389,0.0813,37369,0.7142,,,,,0.0288,,0.0711,,0.6249,0.1585,20835,18880,,,,,461
22071013700,"Desire Area, New Orleans, LA",20882,0.0435,,18854,0.112,35552,0.7216,,,,,0.0334,,0.0631,,0.5951,0.1116,19981,18623,,,,,1351
22071013800,"St. Bernard Area, New Orleans, LA",18749,0.0379,,17314,0.0933,32456,0.7178,,,,,0.0132,,0.0499,,0.6269,0.1117,17438,16916,,,,,2849
22071013900,"Central City, New Orleans, LA",23984,0.0535,,19677,0.1684,42808,0.7119,,,,,0.0876,,0.1155,,0.6196,0.1048,22819,18484,,,,,193
22071014000,"Central City, New Orleans, LA",16283,0.0501,,14389,0.0752,35156,0.6674,,,,,0.0241,,0.041,,0.6972,0.1529,15087,13614,,,,,1111
22071014100,"New Orleans, LA",19063,0.0412,,17627,0.077,30057,0.6763,,,,,0.0204,,0.0796,,0.6979,0.1295,18514,17732,,,,,1291
22071014200,"Irish Channel, New Orleans, LA",20619,0.028,,18724,0.0825,35101,0.7068,,,,,0.038,,0.0708,,0.6596,0.1916,18554,16700,,,,,688
22071014300,"Central City, New Orleans, LA",18345,0.0458,,16783,0.068,38308,0.6767,,,,,0.0142,,0.0683,,0.6798,0.1328,17202,16567,,,,,1345
22071014400,"Uptown/Carrollton, New Orleans, LA",30604,0.0186,,26848,0.1589,50480,0.7805,,,,,0.0947,,0.1795,,0.5965,0.1497,26046,24010,,,,,385
22071014500,"Mid-City, New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,
22071980000,"City Park, New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,
22075050100,"Belle Chasse, LA",36356,0.0123,,27148,0.3624,40562,0.7137,,,,,0.21,,0.1894,,0.7253,0.2468,34485,26001,,,,,761
22075050200,"Belle Chasse, LA",53825,0.0088,,35355,0.5268,43046,0.7736,,,,,0.3105,,0.2834,,0.7044,0.313,52131,35219,,,,,1841
22087030203,"Chalmette, LA",41843,0.0117,,26224,0.4806,41423,0.7424,,,,,0.1966,,0.1699,,0.7131,0.2084,38428,24919,,,,,901
22087030204,"Violet, LA",35796,0.0117,,25058,0.3463,42599,0.7069,,,,,0.1567,,0.156,,0.7369,0.1937,35832,25438,,,,,2179
22087030206,"Chalmette, LA",52602,0.0025,,33823,0.5383,42162,0.7827,,,,,0.3184,,0.2559,,0.7539,0.1344,51566,33244,,,,,1114
22087030207,"Chalmette, LA",56193,0.0023,,35169,0.5455,45066,0.7846,,,,,0.323,,0.291,,0.7115,0.182,52707,33835,,,,,1299
22087030208,"Meraux, LA",55834,0.0034,,36620,0.5524,44357,0.8133,,,,,0.3084,,0.2731,,0.7201,0.1616,55199,36373,,,,,1529
22087030209,"Meraux, LA",45257,0.0091,,31730,0.4699,38254,0.7671,,,,,0.2238,,0.242,,0.6947,0.1827,43658,31661,,,,,1148
22087030300,"Arabi, LA",40472,0.0105,,30117,0.394,40894,0.7875,,,,,0.1906,,0.164,,0.6888,0.1533,41104,30971,,,,,380
22087030400,"Arabi, LA",43898,0.0039,,29247,0.4816,44425,0.7529,,,,,0.229,,0.2096,,0.6653,0.1401,42828,30092,,,,,438
22087030500,"Arabi, LA",47735,0.0039,,32165,0.4881,44196,0.7853,,,,,0.2728,,0.22,,0.7074,0.1351,47966,33277,,,,,661
22087030601,"Chalmette, LA",53403,0.0044,,34504,0.5191,45162,0.7839,,,,,0.3189,,0.2851,,0.6989,0.0833,53106,34609,,,,,608
22087030602,"Chalmette, LA",45653,0.0097,,29487,0.5104,39645,0.7509,,,,,0.2365,,0.2121,,0.6854,0.1715,44047,30202,,,,,815
22087030603,"Chalmette, LA",31391,0.0093,,24963,0.3214,32698,0.6792,,,,,0.1233,,0.1646,,0.6915,0.1362,33153,27166,,,,,1126
22087030700,"Chalmette, LA",45532,0.0256,,32413,0.4682,38944,0.7911,,,,,0.2148,,0.2354,,0.7016,0.1932,47634,34458,,,,,478
22087030800,"Chalmette, LA",40219,0.0069,,27068,0.429,39082,0.7279,,,,,0.1831,,0.1849,,0.7063,0.1636,39807,27723,,,,,1243
22089063200,"Des Allemands, LA",48816,0.0197,,31522,0.5342,37531,0.759,,,,,0.2815,,0.2472,,0.7103,0.405,49875,31415,,,,,1511
