tract,Name,Household_Income_at_Age_35_rP_gP_pall,Incarceration_Rate_rP_gP_pall,Teenage_Birth_Rate_women_only_rP_gP_pall,Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall,Fraction_Married_at_Age_35_rP_gP_pall,Spouse's_Income_at_Age_35_rP_gP_pall,Employment_Rate_at_Age_35_rP_gP_pall,High_School_Graduation_Rate_rP_gP_pall,College_Graduation_Rate_rP_gP_pall,Hours_Worked_Per_Week_at_Age_35_rP_gP_pall,Hourly_Wage_$/hour_at_Age_35_rP_gP_pall,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall,Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall,Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Household_Income_for_U.S._Natives_rP_gP_pall,Household_Income_for_Immigrants_rP_gP_pall,Individual_Income_for_U.S._Natives_rP_gP_pall,Individual_Income_for_Immigrants_rP_gP_pall,Number_of_Children_rP_gP_pall
22051024001,"River Ridge, LA",50229,0.0139,,33212,0.471,46073,0.7877,,,,,0.2856,,0.242,,0.715,0.2726,44365,31875,,,,,639
22051024002,"Harahan, LA",64812,0.0074,,40840,0.5909,47820,0.8262,,,,,0.414,,0.3342,,0.7331,0.181,61139,40181,,,,,667
22051024100,"Harahan, LA",47801,0.0102,,32979,0.4717,42391,0.7727,,,,,0.2438,,0.2494,,0.7643,0.2485,45818,32306,,,,,757
22051024201,"Metairie, LA",44487,0.0215,,31721,0.4118,45108,0.779,,,,,0.208,,0.2418,,0.741,0.2292,42156,31659,,,,,234
22051024202,"Elmwood, LA",41036,0.0083,,28148,0.4247,47499,0.7387,,,,,0.2047,,0.211,,0.6181,0.1281,36922,26806,,,,,354
22051024300,"Jefferson, LA",43044,0.0214,,30159,0.4168,40435,0.7537,,,,,0.2184,,0.2196,,0.7469,0.2643,40916,29579,,,,,525
22051024400,"Jefferson, LA",38241,0.0385,,25786,0.4025,42702,0.7314,,,,,0.175,,0.1523,,0.7351,0.186,36205,24342,,,,,599
22051024500,"New Orleans, LA",45603,0.0134,,33730,0.41,48702,0.8233,,,,,0.2135,,0.2199,,0.6927,0.1647,46179,35703,,,,,269
22051024600,"Jefferson, LA",21606,0.059,,19254,0.1334,39285,0.7234,,,,,0.0473,,0.0778,,0.7234,0.2275,20897,19372,,,,,439
22051024700,"Jefferson, LA",33349,0.0267,,26502,0.3175,35091,0.7684,,,,,0.1324,,0.1573,,0.6758,0.2179,33366,28126,,,,,284
22051024800,"Metairie, LA",66575,0.002,,41793,0.5668,54595,0.7981,,,,,0.4537,,0.399,,0.6389,0.1897,60089,39726,,,,,710
22051024900,"Jefferson, LA",33301,0.0152,,25002,0.306,36103,0.717,,,,,0.1384,,0.1424,,0.6834,0.2098,35602,26735,,,,,362
22051025001,"Gretna, LA",37707,0.0173,,29280,0.3291,39693,0.7856,,,,,0.1451,,0.2015,,0.6509,0.2203,36557,29234,,,,,2573
22051025002,"Terrytown, LA",40087,0.015,,29454,0.3746,37773,0.7522,,,,,0.1898,,0.2018,,0.653,0.1937,37630,29261,,,,,870
22051025003,"Terrytown, LA",53427,0.0072,,36802,0.4976,42453,0.8266,,,,,0.2875,,0.3102,,0.6747,0.1768,51855,36241,,,,,1052
22051025102,"Gretna, LA",52029,0.0115,,34070,0.4875,46603,0.7517,,,,,0.3005,,0.2697,,0.6872,0.2119,49239,32656,,,,,981
22051025103,"Gretna, LA",38106,0.0244,,28694,0.3673,37631,0.778,,,,,0.1502,,0.1875,,0.6932,0.2059,37404,28562,,,,,1088
22051025104,"Gretna, LA",38581,0.0187,,26886,0.3908,42302,0.7364,,,,,0.1674,,0.143,,0.6461,0.219,35287,24639,,,,,958
22051025201,"Terrytown, LA",26586,0.0509,,20440,0.236,37637,0.6899,,,,,0.101,,0.0967,,0.6758,0.1646,27580,22741,,,,,958
22051025202,"Terrytown, LA",37017,0.0123,,27214,0.354,43283,0.7769,,,,,0.1637,,0.1732,,0.6718,0.1863,34028,26206,,,,,1862
22051025300,"Gretna, LA",45001,0.0274,,30920,0.3969,45509,0.7367,,,,,0.2561,,0.2202,,0.6536,0.2186,39154,29584,,,,,447
22051025400,"Gretna, LA",30122,0.0331,,22213,0.2802,40711,0.6861,,,,,0.098,,0.1006,,0.7102,0.2487,29196,22524,,,,,1418
22051025500,"Gretna, LA",24716,0.0302,,20508,0.1958,33464,0.6859,,,,,0.0422,,0.0956,,0.706,0.2531,24493,21320,,,,,916
22051025600,"Gretna, LA",37539,0.0159,,27103,0.4171,41381,0.7792,,,,,0.212,,0.1859,,0.6904,0.1896,37972,27437,,,,,329
22051025700,"Gretna, LA",23771,0.037,,20834,0.1386,37041,0.7347,,,,,0.036,,0.083,,0.7096,0.2307,23765,21571,,,,,423
22051025800,"Gretna, LA",31618,0.0171,,24615,0.2687,44195,0.7507,,,,,0.1271,,0.1714,,0.7226,0.2349,30749,23609,,,,,464
22051025900,"Gretna, LA",31622,0.0206,,24672,0.2383,38835,0.7475,,,,,0.1217,,0.158,,0.7221,0.17,31173,25684,,,,,591
22051026000,"Harvey, LA",35687,0.0424,,27425,0.299,40636,0.7449,,,,,0.1115,,0.1814,,0.7753,0.1891,35421,28433,,,,,441
22051026100,"Harvey, LA",29051,0.0459,,23253,0.2505,34470,0.7379,,,,,0.101,,0.1193,,0.675,0.2032,26331,22083,,,,,1988
22051026200,"Harvey, LA",19877,0.0895,,16907,0.1068,38625,0.6663,,,,,0.0346,,0.0775,,0.6371,0.2412,17278,15328,,,,,497
22051026300,"Harvey, LA",46093,0.0153,,30807,0.456,42207,0.756,,,,,0.2207,,0.2051,,0.7253,0.2642,42419,30345,,,,,543
22051026400,"Marrero, LA",43555,0.0212,,28510,0.4495,42287,0.7533,,,,,0.231,,0.1615,,0.7201,0.2414,39113,26441,,,,,398
22051026500,"Marrero, LA",45050,0.0099,,31831,0.479,36644,0.7529,,,,,0.2455,,0.2279,,0.778,0.1621,43751,31746,,,,,408
22051026600,"Marrero, LA",42301,0.0178,,30078,0.4141,41650,0.7591,,,,,0.2453,,0.2022,,0.7049,0.2209,40662,29938,,,,,384
22051026700,"Marrero, LA",34746,0.0011,,26698,0.3366,36965,0.8021,,,,,0.1492,,0.193,,0.7418,0.2353,33601,25777,,,,,450
22051026800,"Marrero, LA",26096,0.0447,,21805,0.1772,36602,0.7359,,,,,0.0761,,0.0984,,0.7417,0.2467,24535,21801,,,,,907
22051026900,"Marrero, LA",22406,0.0607,,20641,0.1202,36866,0.7489,,,,,0.0224,,0.0798,,0.766,0.2488,22227,20747,,,,,1434
22051027000,"Marrero, LA",37460,0.032,,28115,0.3297,40815,0.753,,,,,0.1776,,0.1861,,0.7503,0.2657,34394,27418,,,,,1386
22051027100,"Westwego, LA",38907,0.0135,,26266,0.4022,40314,0.7262,,,,,0.1649,,0.1768,,0.7472,0.2172,36719,25656,,,,,1171
22051027200,"Westwego, LA",32716,0.031,,24901,0.3122,35691,0.7422,,,,,0.1137,,0.1487,,0.7163,0.2566,32997,26244,,,,,1631
22051027501,"Westwego, LA",37358,0.0247,,28133,0.3782,35837,0.7718,,,,,0.1351,,0.1759,,0.7175,0.2794,36325,27440,,,,,1723
22051027502,"Westwego, LA",22563,0.0305,,20493,0.1082,34706,0.7594,,,,,0.0332,,0.0902,,0.7285,0.2679,20845,19754,,,,,1163
22051027601,"Westwego, LA",36314,0.0224,,26714,0.327,39192,0.7202,,,,,0.1289,,0.1528,,0.7142,0.3159,34185,25823,,,,,1592
22051027602,"Bridge City, LA",24980,0.0724,,20735,0.1729,38373,0.7412,,,,,0.0616,,0.0936,,0.6839,0.2044,23732,20547,,,,,1522
22051027701,"Marrero, LA",24808,0.0366,,22071,0.1578,36637,0.744,,,,,0.0413,,0.1059,,0.7,0.2616,22771,21552,,,,,2542
22051027703,"Marrero, LA",34030,0.0298,,24435,0.3152,41945,0.7167,,,,,0.1432,,0.1529,,0.7261,0.3046,30694,23095,,,,,1638
22051027803,"Harvey, LA",30695,0.031,,25199,0.257,37271,0.7281,,,,,0.1059,,0.1465,,0.6449,0.1837,28664,24398,,,,,1385
22051027804,"Gretna, LA",51590,0.0086,,35885,0.476,44967,0.8013,,,,,0.3167,,0.3034,,0.6071,0.1906,46500,34154,,,,,1927
22051027805,"Harvey, LA",40875,0.021,,29840,0.3662,41443,0.7703,,,,,0.1945,,0.1895,,0.6367,0.1841,37903,28795,,,,,2399
22051027806,"Marrero, LA",42419,0.0239,,28408,0.4532,42404,0.7358,,,,,0.1994,,0.1846,,0.718,0.2324,41747,28373,,,,,2040
22051027807,"Marrero, LA",50021,0.0066,,34243,0.4675,42564,0.7849,,,,,0.2832,,0.2859,,0.6605,0.2206,45982,32020,,,,,2336
22051027810,"Harvey, LA",37631,0.0194,,29977,0.3245,38549,0.8003,,,,,0.16,,0.198,,0.6034,0.1999,33805,27735,,,,,1578
22051027811,"Harvey, LA",37083,0.0139,,28285,0.3193,42529,0.7755,,,,,0.1539,,0.1541,,0.6462,0.1955,33795,27154,,,,,1373
22051027812,"Harvey, LA",33598,0.0243,,27577,0.2504,37412,0.7766,,,,,0.11,,0.1546,,0.6634,0.1954,30827,25857,,,,,1684
22051028100,"Kenner, LA",24200,0.0483,,21423,0.1408,36224,0.7653,,,,,0.0551,,0.108,,0.7126,0.2606,21534,19592,,,,,694
22051028200,"Bridge City, LA",32178,0.0329,,24093,0.3064,35670,0.7085,,,,,0.1301,,0.1427,,0.7398,0.2122,31315,24849,,,,,1470
22051980000,"Kenner, LA",,,,,,,,,,,,,,,,,,,,,,,,
22071000100,"Algiers Point, New Orleans, LA",34102,0.0291,,27893,0.34,38631,0.7773,,,,,0.1229,,0.1433,,0.6489,0.1489,32388,28004,,,,,445
22071000200,"McDonough, New Orleans, LA",21183,0.0552,,19425,0.0918,41605,0.7642,,,,,0.034,,0.0816,,0.7227,0.1953,21898,19656,,,,,417
22071000300,"McDonough, New Orleans, LA",21420,0.0767,,18433,0.1214,37556,0.6972,,,,,0.0413,,0.0517,,0.6857,0.1918,19818,17415,,,,,454
22071000400,"Whitney, New Orleans, LA",23005,0.0467,,20646,0.1357,27592,0.7419,,,,,0.0285,,0.0716,,0.6352,0.1882,22445,20243,,,,,901
22071000601,"Fischer Development Neighborhood, New Orleans, LA",15103,0.0488,,13936,0.0453,,0.7082,,,,,0.0082,,0.0196,,0.747,0.1119,14870,14010,,,,,1120
22071000602,"Algiers, New Orleans, LA",25153,0.0444,,21427,0.1808,40643,0.7576,,,,,0.0578,,0.0818,,0.6683,0.1768,23265,21263,,,,,870
22071000603,"Algiers, New Orleans, LA",24953,0.0525,,20708,0.1514,41922,0.7465,,,,,0.0652,,0.1032,,0.6688,0.1116,23751,20282,,,,,1003
22071000604,"Behrman, New Orleans, LA",26487,0.0275,,22641,0.1767,39807,0.7618,,,,,0.0811,,0.1275,,0.6761,0.2156,22438,20527,,,,,1624
22071000605,"Algiers, New Orleans, LA",27405,0.0376,,22263,0.2329,36952,0.7557,,,,,0.0706,,0.1018,,0.6397,0.2043,23369,19638,,,,,900
22071000606,"Old Aurora, New Orleans, LA",43553,0.0146,,31422,0.3892,45242,0.7346,,,,,0.2052,,0.2085,,0.6077,0.1631,37639,28806,,,,,1111
22071000607,"Algiers, New Orleans, LA",51555,0.0107,,33813,0.4868,46758,0.7913,,,,,0.2958,,0.254,,0.5338,0.1446,51256,32236,,,,,962
22071000611,"New Aurora, New Orleans, LA",26324,0.0534,,22253,0.1809,38573,0.7241,,,,,0.0746,,0.1063,,0.6213,0.2086,25136,22710,,,,,1472
22071000612,"New Aurora, New Orleans, LA",67922,0.0008,,41638,0.5525,46646,0.7837,,,,,0.4654,,0.4451,,0.5298,0.1724,54099,36644,,,,,370
22071000613,"Tall Timbers - Brechtel, New Orleans, LA",26801,0.0633,,21659,0.2024,35919,0.7326,,,,,0.0709,,0.12,,0.5958,0.1648,24319,20578,,,,,1280
22071000615,"Algiers, New Orleans, LA",44218,0.014,,32397,0.397,47473,0.8167,,,,,0.2479,,0.2224,,0.5858,0.1283,39520,30346,,,,,965
22071000616,"Algiers, New Orleans, LA",47280,0.0101,,33675,0.4269,44719,0.7978,,,,,0.2506,,0.2512,,0.5594,0.1297,41627,31769,,,,,1132
22071000617,"Tall Timbers - Brechtel, New Orleans, LA",30625,0.0191,,27143,0.2184,37478,0.7764,,,,,0.0881,,0.166,,0.5871,0.1899,27121,24771,,,,,1135
22071000618,"Algiers, New Orleans, LA",57606,0.0078,,38709,0.4847,45078,0.7961,,,,,0.3441,,0.3736,,0.5028,0.1184,50390,34861,,,,,999
22071000701,"Lower Ninth Ward, New Orleans, LA",21657,0.0508,,20590,0.1009,37408,0.7109,,,,,0.0387,,0.0907,,0.6344,0.0905,19679,20010,,,,,952
22071000702,"Holy Cross, New Orleans, LA",25137,0.0427,,21890,0.1703,38398,0.7364,,,,,0.0551,,0.11,,0.6201,0.1659,22107,20213,,,,,923
22071000800,"Holy Cross, New Orleans, LA",21509,0.0354,,19754,0.1117,40125,0.7579,,,,,0.0489,,0.0724,,0.6606,0.1708,19994,19407,,,,,861
22071000901,"Lower Ninth Ward, New Orleans, LA",21423,0.064,,19994,0.1088,32566,0.7497,,,,,0.0278,,0.0699,,0.6306,0.1051,20342,19971,,,,,845
22071000902,"Lower Ninth Ward, New Orleans, LA",21070,0.042,,18618,0.1069,37203,0.7289,,,,,0.0363,,0.0723,,0.5805,0.1068,18778,17823,,,,,897
22071000903,"Lower Ninth Ward, New Orleans, LA",22119,0.0485,,20019,0.1245,32970,0.7135,,,,,0.0408,,0.0836,,0.5672,0.1139,20576,19289,,,,,809
22071000904,"Lower Ninth Ward, New Orleans, LA",21104,0.0411,,18272,0.1153,45218,0.7048,,,,,0.0337,,0.0656,,0.6249,0.1425,18474,17623,,,,,791
22071001100,"St. Claude, New Orleans, LA",22577,0.0253,,19574,0.1383,37141,0.7112,,,,,0.0459,,0.0893,,0.6484,0.1378,20569,18181,,,,,750
22071001200,"Bywater, New Orleans, LA",23237,0.0389,,19720,0.1708,31466,0.7274,,,,,0.0301,,0.0675,,0.6784,0.1553,24686,21920,,,,,404
22071001301,"St. Claude, New Orleans, LA",20841,0.039,,18824,0.1382,27726,0.7424,,,,,0.0178,,0.0519,,0.6341,0.1476,19442,18144,,,,,976
22071001302,"St. Claude, New Orleans, LA",19142,0.0511,,17963,0.0855,28669,0.7089,,,,,0.0251,,0.0586,,0.6067,0.1377,19785,19658,,,,,643
22071001401,"Florida Area, New Orleans, LA",20222,0.0435,,19130,0.0766,32279,0.7332,,,,,0.0147,,0.0566,,0.6692,0.1542,19058,18773,,,,,828
22071001402,"St. Claude, New Orleans, LA",21748,0.0482,,19257,0.1302,30784,0.7137,,,,,0.0321,,0.0773,,0.6454,0.1735,20726,19523,,,,,993
22071001500,"St. Claude, New Orleans, LA",19120,0.068,,17602,0.0917,30272,0.6892,,,,,0.0133,,0.0695,,0.6355,0.1011,18228,17138,,,,,700
22071001600,"Florida Development Neighborhood, New Orleans, LA",13045,0.0561,,12543,0.0256,,0.6851,,,,,0.0037,,0.0184,,0.7241,0.0775,14247,14122,,,,,925
22071001701,"Gentilly, New Orleans, LA",29060,0.0254,,26441,0.1834,39289,0.7858,,,,,0.1018,,0.1398,,0.6121,0.2054,26534,25493,,,,,541
22071001702,"Gentilly, New Orleans, LA",31879,0.0296,,25462,0.2673,38582,0.7809,,,,,0.1261,,0.1186,,0.5623,0.1968,27459,23234,,,,,1139
22071001720,"New Orleans East Area, New Orleans, LA",25700,0.0292,,22910,0.1439,34279,0.7496,,,,,0.0417,,0.1197,,0.5944,0.1407,24293,21930,,,,,1662
22071001722,"New Orleans East Area, New Orleans, LA",24975,0.026,,22324,0.1575,31454,0.7592,,,,,0.0474,,0.1008,,0.6285,0.175,22587,20785,,,,,2041
22071001723,"New Orleans East Area, New Orleans, LA",29241,0.0197,,25276,0.1929,38739,0.7644,,,,,0.0831,,0.1363,,0.5978,0.2366,26245,24642,,,,,1604
22071001724,"Little Woods, New Orleans, LA",35725,0.0152,,29840,0.2742,41043,0.7779,,,,,0.128,,0.1905,,0.606,0.134,32467,28066,,,,,1483
22071001725,"Little Woods, New Orleans, LA",31674,0.0231,,27483,0.22,39318,0.7877,,,,,0.1092,,0.16,,0.6195,0.174,30201,27185,,,,,2247
22071001730,"Village De L'Est, New Orleans, LA",34015,0.0613,,28966,0.2377,38123,0.7762,,,,,0.1336,,0.1738,,0.5333,0.1525,32050,27242,,,,,721
22071001735,"New Orleans East Area, New Orleans, LA",27725,0.0219,,24872,0.1586,43684,0.766,,,,,0.0804,,0.1501,,0.6012,0.1298,25476,23358,,,,,1676
22071001736,"New Orleans East Area, New Orleans, LA",27351,0.0332,,24163,0.1496,36442,0.7563,,,,,0.0734,,0.1264,,0.5723,0.1381,22990,22339,,,,,1514
22071001737,"Little Woods, New Orleans, LA",28328,0.0357,,23605,0.2217,39663,0.7439,,,,,0.0806,,0.1157,,0.612,0.1779,25435,22134,,,,,1289
22071001739,"Little Woods, New Orleans, LA",32987,0.0198,,28538,0.2421,37224,0.7874,,,,,0.0933,,0.1766,,0.5691,0.1701,31868,28056,,,,,866
22071001740,"Little Woods, New Orleans, LA",37235,0.019,,30513,0.2811,44258,0.8208,,,,,0.1471,,0.2195,,0.5645,0.2067,33412,27899,,,,,1474
22071001741,"Village De L'Est, New Orleans, LA",30029,0.03,,26476,0.2016,32141,0.7333,,,,,0.0832,,0.18,,0.5498,0.2333,28002,25832,,,,,550
22071001743,"New Orleans East Area, New Orleans, LA",33964,0.0305,,27942,0.2607,33968,0.7774,,,,,0.1225,,0.1786,,0.5418,0.1471,31949,28618,,,,,909
22071001744,"Little Woods, New Orleans, LA",28699,0.0343,,25420,0.1688,38014,0.7759,,,,,0.0908,,0.1446,,0.6192,0.155,25714,23641,,,,,1798
22071001745,"New Orleans East Area, New Orleans, LA",34244,0.0262,,28376,0.2274,40911,0.7881,,,,,0.1134,,0.192,,0.6188,0.1807,31973,27398,,,,,1562
22071001746,"Little Woods, New Orleans, LA",25490,0.0238,,23199,0.1215,38293,0.7621,,,,,0.0467,,0.1182,,0.6125,0.1963,24571,23537,,,,,2042
22071001747,"New Orleans East Area, New Orleans, LA",45744,0.0051,,35857,0.3438,46203,0.8205,,,,,0.2321,,0.2969,,0.5902,0.2173,40294,33447,,,,,1100
22071001748,"New Orleans East Area, New Orleans, LA",35124,0.0131,,29306,0.2662,38734,0.8068,,,,,0.1313,,0.18,,0.6,0.1745,31525,26908,,,,,1183
22071001751,"New Orleans East Area, New Orleans, LA",19269,0.0761,,15538,0.1468,40544,0.6481,,,,,0.0599,,0.0668,,0.6344,0.1692,16835,13070,,,,,501
22071001800,"Marigny, New Orleans, LA",25231,0.0299,,17805,0.2148,43297,0.7047,,,,,0.0617,,0.0492,,0.6847,0.1503,20991,16767,,,,,131
22071001900,"St. Roch, New Orleans, LA",19380,0.048,,19433,0.1116,25209,0.7561,,,,,0.0182,,0.065,,0.7139,0.1104,19787,20208,,,,,796
22071002000,"St. Roch, New Orleans, LA",19167,0.0452,,16146,0.1282,33598,0.6332,,,,,0.0244,,0.0561,,0.6359,0.1606,19578,16861,,,,,762
22071002100,"St. Roch, New Orleans, LA",24494,0.0439,,22403,0.1392,35239,0.7577,,,,,0.0578,,0.0899,,0.6094,0.1201,21182,19978,,,,,445
22071002200,"St. Roch, New Orleans, LA",22569,0.049,,20462,0.1199,33231,0.7228,,,,,0.0234,,0.0566,,0.6354,0.1556,20673,19048,,,,,691
22071002300,"St. Roch, New Orleans, LA",24999,0.0592,,21991,0.1477,36204,0.7125,,,,,0.0458,,0.0949,,0.626,0.1523,23111,21687,,,,,1024
22071002401,"Gentilly, New Orleans, LA",31013,0.0331,,28075,0.1839,37273,0.7955,,,,,0.0874,,0.1562,,0.6525,0.2473,29077,27894,,,,,555
22071002402,"Gentilly, New Orleans, LA",26002,0.0204,,22473,0.1759,38887,0.7513,,,,,0.0587,,0.1108,,0.6308,0.2083,25084,22482,,,,,1038
22071002501,"Gentilly, New Orleans, LA",35063,0.0311,,29909,0.2388,43388,0.8031,,,,,0.115,,0.1863,,0.6111,0.1715,34538,29198,,,,,632
22071002502,"Gentilly, New Orleans, LA",28026,0.0272,,24512,0.1602,36364,0.7577,,,,,0.0627,,0.133,,0.623,0.1785,27776,24861,,,,,809
22071002503,"Gentilly, New Orleans, LA",36252,0.002,,29609,0.2867,38578,0.8009,,,,,0.1361,,0.2212,,0.6496,0.1983,35545,28525,,,,,511
22071002504,"Gentilly, New Orleans, LA",36701,0.022,,28960,0.3071,43433,0.777,,,,,0.1257,,0.1712,,0.6181,0.192,35193,27149,,,,,663
22071002600,"Marigny, New Orleans, LA",24499,0.0786,,19363,0.1945,41789,0.6379,,,,,0.0731,,0.0885,,0.7631,0.1199,19737,15458,,,,,113
22071002700,"Seventh Ward, New Orleans, LA",18180,0.0621,,17181,0.0787,27784,0.69,,,,,0.0144,,0.0561,,0.6765,0.099,17760,17377,,,,,907
22071002800,"Seventh Ward, New Orleans, LA",19569,0.0392,,19181,0.0577,35999,0.7301,,,,,0.0197,,0.0859,,0.6566,0.1139,18778,18817,,,,,582
22071002900,"Seventh Ward, New Orleans, LA",18530,0.0432,,16936,0.0798,30979,0.6844,,,,,0.0292,,0.0708,,0.6646,0.1405,19179,18381,,,,,828
22071003000,"Seventh Ward, New Orleans, LA",20229,0.0514,,19671,0.0774,28104,0.6885,,,,,0.031,,0.1088,,0.6617,0.1742,19169,19106,,,,,610
22071003100,"Seventh Ward, New Orleans, LA",25901,0.0498,,22329,0.1638,35584,0.716,,,,,0.0564,,0.1485,,0.646,0.1692,23006,19890,,,,,571
22071003301,"Fillmore, New Orleans, LA",48861,0.0068,,34033,0.4285,44755,0.8358,,,,,0.2885,,0.2831,,0.6139,0.0954,48076,33948,,,,,552
22071003302,"Fillmore, New Orleans, LA",31126,0.0202,,26019,0.251,34703,0.764,,,,,0.0978,,0.1543,,0.6039,0.1988,27123,24333,,,,,994
22071003303,"Gentilly, New Orleans, LA",35572,0.0142,,28782,0.2924,35102,0.82,,,,,0.1326,,0.1626,,0.6519,0.1494,34071,29930,,,,,473
22071003304,"Gentilly, New Orleans, LA",29993,0.0331,,27195,0.2025,35342,0.8028,,,,,0.0723,,0.1406,,0.6251,0.1842,28576,26778,,,,,754
22071003307,"Dillard University, New Orleans, LA",29058,0.0266,,25898,0.178,34082,0.7855,,,,,0.0886,,0.163,,0.6116,0.1812,24624,23785,,,,,403
22071003308,"Gentilly, New Orleans, LA",28486,0.0349,,24708,0.1893,41320,0.7409,,,,,0.082,,0.1217,,0.6126,0.2108,27050,24184,,,,,912
22071003400,"Seventh Ward, New Orleans, LA",19648,0.0456,,19018,0.081,34348,0.6876,,,,,0.027,,0.0697,,0.6395,0.1362,20178,20036,,,,,562
22071003500,"Seventh Ward, New Orleans, LA",22672,0.034,,18917,0.1457,35358,0.7174,,,,,0.0522,,0.0921,,0.6736,0.2021,16750,15540,,,,,472
22071003600,"Seventh Ward, New Orleans, LA",23922,0.0433,,21825,0.1134,40410,0.7525,,,,,0.0438,,0.0899,,0.6323,0.1366,20892,20912,,,,,660
22071003701,"Fairgrounds, New Orleans, LA",27100,0.0154,,24611,0.1742,34293,0.7896,,,,,0.0617,,0.1274,,0.6541,0.2424,26889,25688,,,,,343
22071003702,"Fairgrounds, New Orleans, LA",25499,0.0359,,22355,0.1405,34120,0.7504,,,,,0.0633,,0.1151,,0.6251,0.1642,22333,20572,,,,,1128
22071003800,"French Quarter, New Orleans, LA",57157,0.009,,39346,0.5204,50727,0.7627,,,,,0.3601,,0.3341,,0.4225,0.0657,50297,35734,,,,,47
22071003900,"Treme - Lafitte, New Orleans, LA",20792,0.0324,,19330,0.0931,23184,0.726,,,,,0.045,,0.0883,,0.6397,0.1227,20514,19807,,,,,347
22071004000,"Treme - Lafitte, New Orleans, LA",19761,0.0444,,17215,0.0946,35292,0.6916,,,,,0.0278,,0.0646,,0.6688,0.1839,19567,18112,,,,,695
22071004100,"Bayou St. John, New Orleans, LA",33550,0.0174,,28423,0.2898,36228,0.7292,,,,,0.1647,,0.2082,,0.5899,0.1339,32886,27783,,,,,306
22071004401,"Treme - Lafitte, New Orleans, LA",20574,0.038,,18049,0.114,33514,0.7139,,,,,0.048,,0.0558,,0.6968,0.1598,20232,18781,,,,,779
22071004402,"Treme - Lafitte, New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,
22071004500,"Bayou St. John, New Orleans, LA",24029,0.0309,,21761,0.1296,34881,0.7537,,,,,0.0398,,0.076,,0.6564,0.1127,23720,22011,,,,,1001
22071004600,"City Park, New Orleans, LA",45989,0.0059,,31968,0.4604,38982,0.829,,,,,0.2469,,0.2366,,0.596,0.1949,41644,31664,,,,,396
22071004800,"Iberville, New Orleans, LA",17535,0.0734,,15845,0.0781,,0.6962,,,,,0.0096,,0.0305,,0.7146,0.0929,18479,16149,,,,,1336
22071004900,"Tulane - Gravier, New Orleans, LA",17673,0.0548,,16643,0.0781,34670,0.7048,,,,,0.0157,,0.0538,,0.6735,0.1485,17381,17427,,,,,915
22071005000,"Mid-City, New Orleans, LA",24430,0.0233,,19382,0.1448,39225,0.725,,,,,0.0573,,0.077,,0.6469,0.132,23507,20058,,,,,434
22071005400,"Mid-City, New Orleans, LA",38604,0.0124,,30548,0.284,41293,0.8061,,,,,0.1844,,0.2173,,0.6406,0.1447,35550,29389,,,,,239
22071005500,"Navarre, New Orleans, LA",50191,0.0055,,34390,0.4722,48943,0.7481,,,,,0.3209,,0.2648,,0.7012,0.2031,47110,33544,,,,,512
22071005601,"Lakeview, New Orleans, LA",63675,0.0062,,40895,0.5216,49127,0.8087,,,,,0.4319,,0.4216,,0.679,0.2227,67406,43059,,,,,545
22071005602,"Lakeview, New Orleans, LA",65156,0.0088,,38187,0.5909,48738,0.7749,,,,,0.4115,,0.3467,,0.691,0.1793,63253,37149,,,,,664
22071005603,"Lakeview, New Orleans, LA",53724,0.0031,,37752,0.4053,49555,0.7675,,,,,0.2973,,0.3514,,0.7026,0.1964,49983,37340,,,,,357
22071005604,"Lakeview, New Orleans, LA",69459,0.0013,,44047,0.5737,48961,0.8015,,,,,0.4443,,0.3523,,0.7088,0.2339,69319,44572,,,,,451
22071006000,"Tulane - Gravier, New Orleans, LA",19799,0.1031,,16698,0.135,,0.7262,,,,,0.0415,,0.0803,,0.6442,0.0467,18256,15047,,,,,206
22071006300,"Mid-City, New Orleans, LA",23527,0.031,,21512,0.1541,30528,0.776,,,,,0.0394,,0.0572,,0.673,0.1418,23299,21641,,,,,703
22071006400,"Mid-City, New Orleans, LA",24975,0.0363,,21739,0.1665,35388,0.7716,,,,,0.0507,,0.111,,0.6773,0.1082,24631,21467,,,,,846
22071006500,"Mid-City, New Orleans, LA",25233,0.0446,,20817,0.182,38523,0.7207,,,,,0.06,,0.0755,,0.6486,0.1366,23432,20680,,,,,793
22071006900,"B. W. Cooper, New Orleans, LA",16005,0.0593,,14755,0.0826,34253,0.6893,,,,,0.0111,,0.0328,,0.7145,0.1502,16022,15730,,,,,2100
22071007000,"Gert Town, New Orleans, LA",25037,0.0237,,19190,0.1795,54363,0.6686,,,,,0.1131,,0.1097,,0.7951,0.1125,23531,17782,,,,,254
